3,4-Diaminopyridine	N07XX05
Altargo	D06AX13
Altifex	R06AX26
Alustal 5-gress	V01AA02
Alustal D pteronyssinus	V01AA03
Alustal bjørk	V01AA05
Alustal burot	V01AA10
Alustal hest	V01AA11
Alustal hund	V01AA11
Alustal katt	V01AA11
Alustal midd mix	V01AA03
Alustal or	V01AA05
Alustal timotei	V01AA02
Alutard SQ Bigift	V01AA07
Alutard SQ Bjørk	V01AA05
Alutard SQ Burot	V01AA10
Alutard SQ Dermatophagoides pteronyssinus	V01AA03
Alutard SQ Hestehår	V01AA11
Alutard SQ Hundehår	V01AA11
Alutard SQ Kattehår	V01AA11
Alutard SQ Timotei	V01AA02
Alutard SQ Vepsegift	V01AA07
Alvesco	R03BA08
Alyostal D farinae	V04CL
Alyostal D pteronyssinus	V04CL
Alyostal acarus siro 325	V04CL
Alyostal bjørk	V04CL
Alyostal burot	V04CL
Alyostal eggehvite	V04CL
Alyostal ert 153	V04CL
Alyostal hamster	V04CL
Alyostal hassel 649	V04CL
Alyostal hasselnøtt	V04CL
Alyostal hest	V04CL
Alyostal hund	V04CL
Alyostal hvetemel	V04CL
Alyostal kanin	V04CL
Alyostal katt	V04CL
Alyostal lateks	V04CL
Alyostal marsvin	V04CL
Alyostal muggsopp	V04CL
Alyostal muggsoppmix	V04CL
Alyostal negativ kontroll	V04CL
Alyostal or	V04CL
Alyostal peanøtt	V04CL
Alyostal positiv kontroll	V04CL
Alyostal reke	V04CL
Alyostal soya	V04CL
Alyostal timotei	V04CL
Alyostal torsk	V04CL
Alyostal valnøtt	V04CL
Alzyr	R06AE07
AmBisome	J02AA01
Amaryl	A10BB12
Ameluz	L01XD04
Ametop	D04AB06
Ametop life	D04AB06
Amias	C09CA06
Amikacin campus	J01GB06
Amikacina	J01GB06
Amiloride	C03DB01
Aminess	V06DD
Aminofyllin SA	R03DA05
Aminophyllin	R03DA05
Aminophylline	R03DA05
Aminophylline life	R03DA05
Amiodaron SA	C01BD01
Amiodaron Stragen	C01BD01
Amiodarone	C01BD01
Amiodarone Minijet	C01BD01
Amiodaronhydroklorid SA	C01BD01
Amlodipin Actavis	C08CA01
Amlodipin SA	C08CA01
Amlodipin Sandoz	C08CA01
Amlodipine Vitabalans	C08CA01
Ammonaps	A16AX03
Ammonium phosphate	A12
Amorolfine Apotekproduksjon	D01AE16
Amoxicillin Mylan	J01CA04
Amoxicillin Sandoz	J01CA04
Amoxicillin comp	J01CR02
Amoxiclav	J01CR02
Ampho-Moronal	A01AB04
Ampicillin Strides	J01CA01
Ampicillin VM bms SA	J01CA01
Amsidine	L01XX01
Amsidine campus	L01XX01
Amsidyl	L01XX01
Amyl Nitrite Inhalant USP	V03AB22
Anabolic Flow	A11AA03
Anafranil	N06AA04
Anastrozol Bluefish	L02BG03
Anastrozol Sandoz	L02BG03
Anastrozol medac	L02BG03
Anastrozole Teva	L02BG03
Anatera	S01JA01
Andolex	A01AD02
Andriol	G03BA03
Androcur	G03HA01
Andropatch	G03BA03
Androskat	G04BE30
Anervan Novum	N02CA72
Anexate	V03AB25
Angiox	B01AE06
Angusta	G02AD06
Anoheal	C05AX
Anoro	R03AL03
Ansatipin	J04AB04
Ansatipin euromedica	J04AB04
Antabus	N07BB01
Antepsin	A02BX02
Anticholium	V03AB19
Anticholium life	V03AB19
Anticholium specific	V03AB19
Antix	D06BB03
Apidra	A10AB06
Apocillin	J01CE02
Apodorm	N05CD02
Apolar	D07AB08
Apolar med dekvalin	D07BB02
Apomorfin	N04BC07
Apomorfin PharmSwed	N04BC07
Apovit B-combin sterk	A11EA
Apresolin	C02DB02
Aprokam	S01AA27
Aprotinin life	B02AB01
Aprovel	C09CA04
Apydan	N03AF02
Aquadeks	A11AA03
Aquadeks Softgels	A11AA03
Aquagen SQ Bigift	V01AA07
Aquagen SQ Vepsegift	V01AA07
Aranesp	B03XA02
Arava	L04AA13
Arcoxia	M01AH05
Arginin NAF	B05XB01
Aricept	N06DA02
Aridol	V04CX
Arimidex	L02BG03
Arixtra	B01AX05
Arlevert	N07CA52
Armour Thyroid	H03AA03
Arnikatinktur NAF	M02
Aromasin	L02BG06
Arpac SA	D11AF
Arpac ullevål	D11AF
Artane	N04AA01
Artelac	S01XA20
Arterenol	C01CA03
Artesun	P01BE03
Artesun campus	P01BE03
Arthrotec	M01AB55
Artiss	B02BC30
Arzerra	L01XC10
Arzol	D08AL01
Asacol	A07EC02
Asasantin Retard	B01AC30
Asmanex Twisthaler	R03BA07
Asparaginase	L01XX02
Aspartinsyre SA	B05BA10
Aspirin	N02BA01
Atacand	C09CA06
Atacand Plus	C09DA06
Atacand Plus Mite	C09DA06
Atamir	M01CC01
Atarax	N05BB01
Atenativ	B01AB02
Atenolol Mylan	C07AB03
Atgam	L04AA03
Atgam campus	L04AA03
Ativan	N05BA06
Atorvastatin Krka	C10AA05
Atorvastatin Pfizer	C10AA05
Atorvastatin Sandoz	C10AA05
Atorvastatin Teva	C10AA05
Atosiban SUN	G02CX01
Atracurium Besilate	M03AC04
Atriance	L01BB07
Atripla	J05AR06
Atromidin	C10AB01
Atropin	A03BA01
Atropin Minims	S01FA01
Atropin NAF	A03BA01
Atropin Nycomed	A03BA01
Atropin SA	A03BA01
Atropin Stragen	A03BA01
Atropinsulfat SA	A03BA01
Atrovent	R01AX03
Aubagio	L04AA31
Auralife	A11
Aureomycin	S01AA02
Aurorix	N06AG02
Avamys	R01AD12
Avastin	L01XC07
Avelox	J01MA14
Avibon	D10AD02
Avodart	G04CB02
Avonex	L03AB07
Axanum	B01AC56
Axsain	N01BX04
Azactam	J01DF01
Azalia	G03AC09
Azarga	S01ED51
Azatioprin SA	L04AX01
Azilect	N04BD02
Azithromycin	J01FA10
Azithromycin Hexal	J01FA10
Azithromycin life	J01FA10
Azitromax	J01FA10
Azmacort	R03BA06
Azopt	S01EC04
Azyter	S01AA26
Azzalure	M03AX01
B-Plex 100	A11EA
B6-Vicotrat	A11HA02
BCG-Medac	L03AX03
BCG-vaksine SSI	J07AN01
Bacimycin	D06AX05
Baclofen	M03BX01
Baclofen Intrathecal	M03BX01
Bactrim	J01EE01
Bactroban	D06AX09
Bactroban Nasal	R01AX06
Bactroban Nasal Euromedica	R01AX06
Baklofen Mylan	M03BX01
Balance 1,5% glukose + 1,25 mmol Ca/l	B05DB
Balance 1,5% glukose + 1,75 mmol Ca/l	B05DB
Balance 2,3% glukose + 1,25 mmol Ca/l	B05DB
Balance 2,3% glukose + 1,75 mmol Ca/l	B05DB
Balance 4,25% glukose + 1,25 mmol Ca/l	B05DB
Balance 4,25% glukose + 1,75 mmol Ca/l	B05DB
Bambec	R03CC12
Baraclude	J05AF10
Barbital NAF	N05CA04
Barnesalve NAF med Salisylsyre	D02AF
Basiron AC	D10AE01
Basiron AC Wash	D10AE01
Becenun/Bicnu	L01AD01
Beclomet Easyhaler	R03BA01
Becozyme	A11EA
Beet flow	A16
Behepan	B03BA01
Bellymed	A06AD15
Bemfola	G03GA05
Benadon	A11HA02
BeneFIX	B02BD09
Benerva	A11DA01
Benerva euromedica	A11DA01
Benetor	C09CA08
Benetor Comp	C09DA08
Benlysta	L04AA26
Benzetacil	J01CE08
Benzylbenzoat NAF	P03AX01
Benzylpenicillin Panpharma	J01CE01
Benzylpenicillin VM actavis SA	J01CE01
Benzylpenicillin VM panpharma SA	J01CE01
Bepanthen	D03AX03
Bepanthen Euromedica	D03AX03
Bergensk Brystbalsam NAF	R05CA10
Beriglobin	J06BA01
Berinert	B06AC01
Berocca	A11EB
Berotec	R03AC04
Berotec N	R03AC04
Betadine Ophtalmic	S01
Betadine sterile ophtalmic sol	S01AX18
Betadine sterile ophtalmic sol campus	S01AX18
Betaferon	L03AB08
Betaine Hydrochloride	A09AB02
Betapred	H02AB01
Betaserc	N07CA01
Betmiga	G04BD12
Betnovat	D07AC01
Betnovat m/Dmso SA	D07XC01
Betnovat med Chinoform	D07BC01
Betolvex	B03BA01
Betoptic	S01ED02
Betoptic S	S01ED02
Bettamousse	D07AC01
Bexsero	J07AH09
Bezalip	C10AB02
Bezalip mono	C10AB02
Bicalutamid Sandoz	L02BB03
Bicalutamide Bluefish	L02BB03
Bicalutamide Teva	L02BB03
Bicnu	L01AD01
Bififlor	A07FA51
Bikalutamid Medac	L02BB03
Biklin	J01GB06
Biltricide	P02BA01
Biltricide campus	P02BA01
Bio-Biloba	N06DX02
Bio-C-Vitamin	A11GA01
Bio-E-Vitamin	A11HA03
Biocarn	A16AA01
Biocarn euromedica	A16AA01
Bioclavid	J01CR02
Biotin SA	A11HA05
Bisolvon	R05CB02
Bisoprolol Sandoz	C07AB07
Bisoprolol Vitabalans	C07AB07
Bleomycin Baxter	L01DC01
Blocadren Depot	S01ED01
Bondil	G04BE01
Bondronat	M05BA06
Bonefos	M05BA02
Bonviva	M05BA06
Boostrix	J07AJ52
Boostrix Polio	J07CA02
Borsyre	S02AA03
Borsyre SA	S02AA03
Bosulif	L01XE14
Botox	M03AX01
Braunovidon	D08AG02
Bravelle	G03GA04
Brekkmiddel til barn NAF	V03AB01
Brevactid	G03GA01
Brevibloc	C07AB09
Brexidol	M01AC01
Bricanyl	R03AC03
Bricanyl Depot	R03CC03
Bricanyl Turbuhaler	R03AC03
Bridion	V03AB35
Brilique	B01AC24
Brimoratio	S01EA05
Brinavess	C01BG11
BritLofex	N07BC04
Britaject	N04BC07
Brolene	S01AX15
Bromhexine Apotekproduksjon	R05CB02
Bronkyl	R05CB01
Bronwel	Ikke relevant
Bronwel Comp	Ikke relevant
Brufen	M01AE01
Brufen Retard	M01AE01
Brulidine	D08AC01
Bss	B05CB10
Bss plus	B05CB10
Buccolam	N05CD08
Budesonid Arrow	R03BA02
Budesonid Sandoz	R01AD05
Budesonida	R03BA02
Buprenorphine Orifarm	N07BC01
Buprenorphine Sandoz	N07BC01
Buquel	N02AB03
Burana	M01AE01
Burinex	C03CA02
Buronil	N05AD03
Buscopan	A03BB01
Busilvex	L01AB01
Buspiron Actavis	N05BE01
Buspiron Mylan	N05BE01
Buspirone Orion	N05BE01
Buventol Easyhaler	R03AC02
Bydureon	A10BX04
Byetta	A10BX04
CRH Ferring	V04CD04
CRH Ferring Euromedica	V04CD04
CRH Ferring campus	V04CD04
Cabaser	N04BC06
Cacit	A12AA04
Caelyx	L01DB01
Cafergot	N02CA52
Calamin NAF	D04AX
Calcigran Forte	A12AX
Calcipotriol Sandoz	D05AX02
Calcium Citrate	A12AX
Calcium D-glucarate	A12AA
Calcium gluconate	A12AA03
Calcium-Sandoz	A12AA02
Calcium-Sandoz 2care4	A12AA02
Calciumchlorid	B05XA07
Calciumfolinat Hospira	V03AF03
Calciumfolinat-GRY	V03AF03
Calciumfolinate Teva	V03AF03
Calciumgluconat 2care4	A12AA03
Calciumklorid B. Braun	B05XA07
Calciumklorid SA	B05XA07
Calcort	H02AB13
Campral	N07BB03
Campto	L01XX19
Cancidas	J02AX04
Candemox comp	C09DA06
Candesartan Aspen	C09CA06
Candesartan Krka	C09CA06
Candesartan Navamedic	C09CA06
Candesartan Orion	C09CA06
Candesartan Sandoz	C09CA06
Candesartan/Hydrochlorothiazide Krka	C09DA06
Candesartan/Hydrochlorothiazide Navamedic	C09DA06
Candesartan/Hydrochlorothiazide Orion	C09DA06
CandiZYME	A09AA02
Canesten	G01AF02
Canesten Combi	G01AF02
Canoderm	D02AE01
Canthacur	D11AF
Canthacur PS	D11AF
Capastat	J04AB30
Capecitabine Accord	L01BC06
Capecitabine Actavis	L01BC06
Capecitabine medac	L01BC06
Caprelsa	L01XE12
Capreomycin	J04AB30
Capreomycin campus	J04AB30
Caprystatin	A
Capsaicin SA	N01BX04
Capsina	N01BX04
Captopril Mylan	C09AA01
Carbaglu	A16AA05
Carbimazol	H03BB01
Carbocain	N01BB03
Carbocain Dental	N01BB03
Carbocain adrenalin	N01BB53
Carbomix	A07BA01
Carboplatin Actavis	L01XA02
Carboplatin Fresenius Kabi	L01XA02
Carboplatin Hospira	L01XA02
Carboplatin Teva	L01XA02
Cardioplegia Infusion life	B05XA16
Cardioplegivæske NAF	B05XA16
Cardizem Retard	C08DB01
Cardizem Uno	C08DB01
Carduran CR	C02CA04
Carisoprodol	M03BA02
Carmubris	L01AD01
Carnitene	A16AA01
Carnitene specific	A16AA01
Carnoys løsning SA	L
Carotaben	A11CA02
Carvedilol Aurobindo	C07AG02
Carvedilol Hexal	C07AG02
Casodex	L02BB03
Catabolic flow	A11
Cataflam	M01AB05
Catapres	C02AC01
Catapres-TTS-2	C02AC01
Catapresan	C02AC01
Catapresan euromedica	C02AC01
Caverject Dual	G04BE01
Cayston	J01DF01
CeeNU	L01AD02
Cefalotin VM acs SA	J01DB03
Cefalotin VM vill SA	J01DB03
Cefalotin Villerton	J01DB03
Cefotaxim Sandoz	J01DD01
Cefotaxim VM vill SA	J01DD01
Cefotaxim Villerton	J01DD01
Cefotaxime VM acs SA	J01DD01
Ceftazidim Fresenius Kabi	J01DD02
Ceftazidim Stragen	J01DD02
Ceftazidim Villerton	J01DD02
Ceftazidime	J01DD02
Ceftriaxon Copyfarm	J01DD04
Ceftriaxon Stragen	J01DD04
Ceftriaxon Villerton	J01DD04
Cefuroxim	S01AA27
Cefuroxim Fresenius Kabi	J01DC02
Cefuroxim Stragen	J01DC02
Cefuroxim VM fresenius SA	J01DC02
Cefuroxim VM glaxo SA	J01DC02
Cefuroxim Villerton	J01DC02
Cefuroxime Duplex	J01DC02
Celebra	M01AH01
Celeston Chronodose	H02AB01
CellCept	L04AA06
Celluvisc	S01XA20
Celsentri	J05AX09
Centyl Med Kaliumklorid	C03AB01
Centyl Mite Med Kaliumklorid	C03AB01
Cephyl	N02BA51
Ceplene	L03AX14
Cerazette	G03AC09
Cerezyme	A16AB02
Cernevit	B05XC
Certican	L04AA18
Cerubidin	L01DB02
Cervarix	J07BM02
Cesol	P02BA01
Cetimax	R06AE07
Cetirizin Actavis	R06AE07
Cetirizin BMM Pharma	R06AE07
Cetirizin Bluefish	R06AE07
Cetirizin Mylan	R06AE07
Cetirizin Sandoz	R06AE07
Cetirizin ratiopharm	R06AE07
Cetraxal	S02AA15
Cetraxal Comp	S02CA05
Cetrotide	H01CC02
Cf indicator sweat test	V04CX
Champix	N07BA03
Chantix	N07BA03
Chloramphenicol	J01BA01
Chloraprep med farge	D08AC52
Chlorhexidin	D08AC02
Chlormadinon	G03DB06
Chloromycetin	J01BA01
Chloroprocaine Hydrochloride	N01BA04
Chlorpromazine	N05AA01
Chlorpromazine Euromedica	N05AA01
Chlorpromazine euromedica	N05AA01
Chlorprothixen	N05AF03
Cholestagel	C10AC04
Cialis	G04BE08
Ciklosporin	S01XA18
Cikosporin	S01XA18
Cilox	S02AA15
Cimetidin	A02BA01
Cimzia	L04AB05
Cinryze	B06AC01
Cipralex	N06AB10
Cipralex Meltz	N06AB10
Cipramil	N06AB04
Ciprofloxacin Actavis	J01MA02
Ciprofloxacin Claris	J01MA02
Ciprofloxacin Hospira	J01MA02
Ciprofloxacin Teva	J01MA02
Ciprofloxacin Villerton	J01MA02
Ciproxin	J01MA02
Circadin	N05CH01
Cisordinol	N05AF05
Cisordinol Depot	N05AF05
Cisordinol-Acutard	N05AF05
Cisplatin Accord	L01XA01
Cisplatin Hospira	L01XA01
Cisplatin Strides	L01XA01
Citalopram Sandoz	N06AB04
Citalopram Teva	N06AB04
Citalopram Vitabalans	N06AB04
Citanest Dental Octapressin	N01BB54
Citrafleet	A06AB58
Citrat-glukose	B06A
Clarithromycin Teva	J01FA09
Clarityn	R06AX13
Cleocin IV Solution i 5% dextrose	J01FF01
Clindamycin Stragen	J01FF01
Clindamycin Villerton	J01FF01
Clinimix N9G15E	B05BA10
Clinoleic	B05BA02
Cliovelle	G03FA01
Clobex	D07AD01
Clomifen	G03GB02
Clonistada retard	C02AC01
Clopidogrel Actavis	B01AC04
Clopidogrel Mylan	B01AC04
Cloramfenicolo life	J01BA01
Cloxacillin	J01CF02
Cloxacillin Stragen	J01CF02
Cloxacillin VM stragen SA	J01CF02
Cloxacillin VM vill SA	J01CF02
Cloxacillin Villerton	J01CF02
Clozapin Hexal	N05AH02
Clozapine Actavis	N05AH02
Co-phenotrope	A07DA01
CoAprovel	C09DA04
Codaxol	N02AA59
Coffein Citrat	N06BC01
Colazid	A07EC04
Colestid	C10AC02
Colifoam	A07EA02
Colimycin	J01XB01
Colobreathe	J01XB01
Colomycin	J01XB01
Combigan	S01ED51
Combivent UDV	R03AL02
Combivir	J05AR01
Combizym	A09AA02
Cometriq	L01XE26
Competact	A10BD05
Comtess	N04BX02
Concerta	N06BA04
Condyline	D06BB04
Confidex	B02BD01
Confortid	M01AB01
Conludag	G03AC01
Conoxia	V03AN01
Consed	N05CD08
Constella	A06AX04
Contrathion	V03AB04
Copaxone	L03AX13
Copegus	J05AB04
Cordarone	C01BD01
Corgard	C07AA12
Corixil	C09DA03
Corotrop	C01CE02
Corotrope campus	C01CE02
Corsodyl	A01AB03
Cortef	H02AB09
Cortison	H02AB10
Cortisonacetat	H02AB10
Corvert	C01BD05
Cosmegen	L01DA01
CosmoFer	B03AC
Cosmofer	B03AC
Cosopt	S01ED51
Cosylan	R05DA01
Coumadin	B01AA03
Cozaar	C09CA01
Cozaar Comp	C09DA01
Cozaar Comp Forte	C09DA01
Creon 10000	A09AA02
Creon 25000	A09AA02
Creon 40000	A09AA02
Crestor	C10AA07
Crinone	G03DA04
Crixivan	J05AE02
Cubicin	J01XX09
Curacit	M03AB01
Curosurf	R07AA02
Cyanokit	V03AB33
Cyclogest 400	G03DA04
Cyclogyl	S01FA04
Cyclopentolat Minims	S01FA04
Cyklokapron	B02AA02
Cyklopentolat-fenylefrin	S01FA54
Cyklopentolat-fenylefrin SA	S01FA54
Cylert	N06BA05
Cymbalta	N06AX21
Cymevene	J05AB06
Cyproheptadine HCl	R06AX02
Cystadane	A16AA06
Cystagon	A16AA04
Cysteamin	S01AX
Cytarabin Fresenius Kabi	L01BC01
Cytarabine Pfizer	L01BC01
Cytotec	A02BB01
Cytra-K crystals	A02A
D-Cure	A11CC05
D3-50	A11CC05
DHC Continus	N02AA08
DHEA	A14AA07
DHEA Sublingual	A14AA07
DMSA	V03A
Dacarbazine	L01AX04
Dacarbazine Lipomed	L01AX04
Dacogen	L01BC08
Daivobet	D05AX52
Daktacort	D01AC20
Daktar	A01AB09
Dalacin	J01FF01
Dalmadorm	N05CD01
Danol	G03XA01
Dantrium	M03CA01
Dantrium life	M03CA01
Dantrolen	M03CA01
Dantrolen campus	M03CA01
Daosin	A09AA
Dapson	J04BA02
DaunoXome	L01DB02
Daxas	R03DX07
Deanxit	N06CA02
Deca-Durabolin	A14AB01
Decapeptyl Depot	L02AE04
Decapeptyl depot	L02AE04
Defibrotide	B01AX01
Defitelio	B01AX01
Dehydrated Alcohol	V03AB16
Dehydrobenzperidol	N05AD08
Dekristol	A11CC05
Deksklorfeniramin NAF	R06AB02
Delepsine	N03AG01
Delphicort	H02AB08
Dentinox NAF	A01AD11
Depakote	N03AG01
Depakote Sprinkle	N03AG01
Depo-Medrol	H02AB04
Depo-Medrol Cum Lidocain	H02BX01
Depo-Provera	G03AC06
DepoCyte	L01BC01
Deprakine Retard	N03AG01
Dermovat	D07AD01
Dermovate	D07AD01
Descutan	D08AC02
Deseril	N02CA04
Desferal	V03AC01
Desmopressin Actavis	H01BA02
Desmopressin Orifarm	H01BA02
Desmopressin SA	H01BA02
Detremin	A11CC05
Detrusitol	G04BD07
Detrusitol SR	G04BD07
Dexa-sine SE	S01BA01
Dexagalen	H02AB02
Dexametason Abcur	H02AB02
Dexametason SA	H02AB02
Dexamethason	H02AB02
Dexamethason 2care4	H02AB02
Dexamethason Euromedica	H02AB02
Dexamethason abcur	H02AB02
Dexamethasone	H02AB02
Dexamethasone Minims	S01BA01
Dexamethasone life	H02AB02
Dexamfetamine	N06BA02
Dexamfetamine campus	N06BA02
Dexamfetamine sulphate	N06BA02
Dexaven	H02AB02
Dexdor	N05CM18
Dexedrine Spansule	N06BA02
Dexofan	R05DA09
Dexpanthenol	A11HA30
Dexyl	R01AA07
Dhea	A14AA07
Diabact UBT	V04CX
Diacomit	N03AX17
Diamox	S01EC01
Diamox SR	S01EC01
Diamox SR Euromedica	S01EC01
Diamox SR Life	S01EC01
Diamox SR abcur	S01EC01
Diamox abcur	S01EC01
Diamox specific	S01EC01
Diane	G03HB01
Dibenzyran	C04AX02
Dibro-be mono	N05CM11
Dicillin	J01CF01
Diclin	J01CF01
Diclocil	J01CF01
Diclofenac BMM Pharma	M01AB05
Diclofenac Bluefish	M01AB05
Diclofenac ratiopharm	M01AB05
DiclofenacKalium ratiopharm	M01AB05
Dicoumarol	B01AA01
Dicuno	M01AB05
Dicyclomine	A03AA07
Didronate	M05BA01
Didronate + Calsium Kombinasjonspakning	M05BB01
Difenhydramin SA	R06AA02
Difenhydramin dak	R06AA02
Differin	D10AD03
Dificlir	A07AA12
Diflucan	J02AC01
Diflunisal	N02BA11
Digesti-zyme	A09AC02
DigiFab	V03AB24
Digibind	V03AB24
Digifab campus	V03AB24
Digimerck	C01AA04
Digimerck Pico	C01AA04
Digitoxin	C01AA04
Digoxin Nycomed	C01AA05
Diloxanide	P01AC01
Diltiazem	C08DB01
Diltiazem SA	C08DB01
Dimaval	V03AB09
Dimetylsulfoksid SA	G04BX13
Diovan	C09CA03
Diovan Comp	C09DA03
Dipentum	A07EC03
Dipeptiven	B05XB02
Diphenhydramine Hydrochloride	R06AA02
Dipidolor	N02AC03
Diproderm	S02BA07
Diprosalic	D07XC01
Disipal	N04AB02
Disofrol	R01BA52
Dispril	N02BA01
Disprin	N02BA01
Disulfiram	N07BB01
Disulfiram euromedica	N07BB01
Dithrocream	D05AC01
Dithrocream HP	D05AC01
Dithrocream forte	D05AC01
Ditropan	G04BD04
Diural	C03CA01
Divalproex Sodium Sprinkle	N03AG01
Divisun	A11CC05
Dmap-4	V03AB
Dmsa	V03A
Dobutamin	C01CA07
Dobutamin Hameln	C01CA07
Docetaxel Accord	L01CD02
Docetaxel Actavis	L01CD02
Docetaxel Hospira	L01CD02
Docetaxel Teva	L01CD02
Dociton retard	C07AA05
Dogmatil Forte	N05AL01
Doksycyklin Hexal	J01AA02
Dolcontin	N02AA01
Dominal forte	N05AX07
Domperidone	A03FA03
Donacom	M01AX05
Donepezil Accord	N06DA02
Donepezil Actavis	N06DA02
Donepezil Aspen	N06DA02
Donepezil Navamedic	N06DA02
Donepezil Orifarm	N06DA02
Donepezil Sandoz	N06DA02
Dopamin	C01CA04
Dopram	R07AB01
Doribax	J01DH04
Dormicum	N05CD08
Dormutil N	R06AA02
Dorzolamid Orifarm	S01EC03
Dorzolamid/Timolol Sandoz	S01ED51
Dostinex	G02CB03
Dotarem	V08CA02
Doxazosin	C02CA04
Doxorubicin Accord	L01DB01
Doxycyclin-ratio SF	J01AA02
Doxyferm	J01AA02
Doxylin	J01AA02
Dridase	G04BD04
Dridol	N05AD08
Dukoral	J07AE01
Dulbeccos fosfatbuffer SA	V07AB
Dulcolax	A06AB02
DuoResp Spiromax	R03AK07
DuoTrav	S01ED51
Duodart	G04CA52
Duodopa	N04BA02
Duovent/berodual	R03AL01
Duphalac	A06AD11
Duraphat	A01AA01
Durbis Retard	C01BA03
Duroferon	B03AA07
Durogesic	N02AB03
Duspatal	A03AA04
Duspatalin	A03AA04
Duspatalin Retard	A03AA04
Dymista	R01AD58
Dynastat	M01AH04
Dysport	M03AX01
E-Z-Gas	V07AY
E-Z-HD	V08BA01
E-Z-Paque High Density	V08BA01
E-Z-Paque High Density 2care4	V08BA01
E-Z-Paste	V08BA01
Ebastin Orifarm	R06AX22
Ebetrex	L01BA01
Ebixa	N06DX01
Ebixa Startpakning	N06DX01
Ecalta	J02AX06
Echovist	V08DA02
Eddiksyre i makrogolbase SA	V03A
Eddiksyre ullevål	G01AD02
Edetat NAF	V03AB03
Edronax	N06AX18
Edurant	J05AG05
Efedrin	C01CA26
Efedrin NAF	R03CA02
Efedrin NAF Solbær	R03CA02
Efedrin SA	C01CA26
Efedrin Stragen	C01CA26
Efemolin	S01BB03
Efexor Depot	N06AX16
Effentora	N02AB03
Effortil	C01CA01
Efient	B01AC22
Efudix	L01BC02
Egazil	A03BA03
